County,tot_change,Natural,Births,Deaths,Migration_otal,International,Domestic
".Clear Creek County, Colorado",627,125,662,537,497,196,301
".Conejos County, Colorado",-51,228,982,754,-279,36,-315
".Costilla County, Colorado",363,-67,290,357,429,81,348
".Crowley County, Colorado",238,-58,316,374,243,130,113
".Custer County, Colorado",817,-114,236,350,920,-4,924
".Delta County, Colorado",209,-632,2789,3421,844,35,809
".Denver County, Colorado",127386,45805,86008,40203,79472,19191,60281
".Dolores County, Colorado",-9,-11,148,159,-1,0,-1
".Douglas County, Colorado",65689,21082,32249,11167,44311,4993,39318
".Eagle County, Colorado",2926,4837,5870,1033,-1929,1022,-2951
".Elbert County, Colorado",3641,536,1728,1192,3101,200,2901
".El Paso County, Colorado",98150,47280,86297,39017,50760,11284,39476
".Fremont County, Colorado",1011,-1565,3471,5036,2558,108,2450
".Garfield County, Colorado",3688,4526,7471,2945,-857,288,-1145
".Gilpin County, Colorado",794,136,376,240,642,-2,644
".Grand County, Colorado",891,475,1064,589,381,90,291
".Gunnison County, Colorado",2138,684,1331,647,1427,5,1422
".Hinsdale County, Colorado",-23,2,46,44,-27,0,-27
".Huerfano County, Colorado",186,-495,444,939,677,37,640
".Jackson County, Colorado",-1,9,115,106,-14,3,-17
".Jefferson County, Colorado",48052,14405,53446,39041,33487,5036,28451
".Kiowa County, Colorado",8,-30,151,181,36,0,36
".Kit Carson County, Colorado",-1173,162,849,687,-1378,50,-1428
".Lake County, Colorado",817,417,771,354,386,-41,427
".La Plata County, Colorado",4886,1824,4881,3057,3020,-60,3080
".Larimer County, Colorado",57269,11605,31320,19715,45121,4487,40634
".Las Animas County, Colorado",-1001,-374,1228,1602,-653,128,-781
".Lincoln County, Colorado",232,63,543,480,165,31,134
".Logan County, Colorado",-300,209,2109,1900,-518,57,-575
".Mesa County, Colorado",7477,3078,16342,13264,4431,-173,4604
".Mineral County, Colorado",57,-1,54,55,57,0,57
".Moffat County, Colorado",-508,771,1659,888,-1302,86,-1388
".Montezuma County, Colorado",642,243,2706,2463,419,-104,523
".Montrose County, Colorado",1482,227,4147,3920,1263,31,1232
".Morgan County, Colorado",909,1651,4031,2380,-753,1203,-1956
".Otero County, Colorado",-555,-166,2032,2198,-385,16,-401
".Ouray County, Colorado",510,-11,265,276,508,12,496
".Park County, Colorado",2642,207,1048,841,2400,-19,2419
".Phillips County, Colorado",-177,19,484,465,-200,141,-341
".Pitkin County, Colorado",623,802,1288,486,-183,765,-948
".Prowers County, Colorado",-379,376,1513,1137,-769,122,-891
".Pueblo County, Colorado",9361,1417,17214,15797,8038,458,7580
".Rio Blanco County, Colorado",-349,241,705,464,-602,90,-692
".Rio Grande County, Colorado",-715,109,1244,1135,-827,3,-830
".Routt County, Colorado",2132,1022,2016,994,1087,480,607
".Saguache County, Colorado",716,241,648,407,470,74,396
".San Juan County, Colorado",29,8,44,36,18,0,18
".San Miguel County, Colorado",820,414,620,206,404,268,136
".Sedgwick County, Colorado",-134,-123,210,333,-12,3,-15
".Summit County, Colorado",3017,2028,2591,563,951,1029,-78
".Teller County, Colorado",2029,215,1691,1476,1810,-64,1874
".Washington County, Colorado",96,-33,428,461,130,2,128
".Weld County, Colorado",71665,22092,37587,15495,49035,2484,46551
".Yuma County, Colorado",-24,415,1336,921,-445,264,-709
".Fairfield County, Connecticut",26428,31206,92947,61741,-4739,44863,-49602
".Hartford County, Connecticut",-2332,13295,86975,73680,-15775,41102,-56877
".Litchfield County, Connecticut",-9547,-3159,13334,16493,-6375,2276,-8651
".Middlesex County, Connecticut",-3236,-1399,12559,13958,-1745,2612,-4357
".New Haven County, Connecticut",-7685,10560,81952,71392,-18293,32843,-51136
".New London County, Connecticut",-8864,2357,24643,22286,-11261,6111,-17372
".Tolland County, Connecticut",-2026,1129,10675,9546,-3239,3681,-6920
".Windham County, Connecticut",-1598,850,10406,9556,-2472,2904,-5376
".Kent County, Delaware",18436,6171,20448,14277,12260,2127,10133
".New Castle County, Delaware",20269,18215,60294,42079,2523,9922,-7399
".Sussex County, Delaware",37122,-1258,20930,22188,37982,1178,36804
".District of Columbia, District of Columbia",103982,41806,87527,45721,61065,33805,27260
".Alachua County, Florida",21706,9149,26402,17253,12606,10518,2088
".Baker County, Florida",2095,885,3138,2253,1212,60,1152
".Bay County, Florida",5855,3934,20996,17062,1770,3938,-2168
